Dates,Cycle Yes/No,Step Count
2022-02-16,1,647.0
2022-02-17,1,4280.0
2022-02-18,1,11168.0
2022-02-19,1,7206.0
2022-02-20,1,2778.0
2022-02-21,0,10038.0
2022-02-22,0,6134.0
2022-02-23,0,9374.0
2022-02-24,0,12776.0
2022-02-25,0,2974.0
2022-02-26,0,613.0
2022-02-27,0,4486.0
2022-02-28,0,8236.0
2022-03-01,0,4338.0
2022-03-02,0,1306.0
2022-03-03,0,3541.0
2022-03-04,0,6508.0
2022-03-05,0,8855.0
2022-03-06,0,3418.0
2022-03-07,0,6256.0
2022-03-08,0,2163.0
2022-03-09,0,2406.0
2022-03-10,0,62.0
2022-03-11,0,466.0
2022-03-12,0,2477.0
2022-03-13,0,1522.0
2022-03-14,0,6593.0
2022-03-15,0,3674.0
2022-03-16,1,2673.0
2022-03-17,1,2381.0
2022-03-18,1,8732.0
2022-03-19,1,4895.0
2022-03-20,1,5115.0
2022-03-21,1,8094.0
2022-03-22,0,1253.0
2022-03-23,0,3241.0
2022-03-24,0,4112.0
2022-03-25,0,4051.0
2022-03-26,0,5438.0
2022-03-27,0,18342.0
2022-03-28,0,7945.0
2022-03-29,0,5495.0
2022-03-30,0,9522.0
2022-03-31,0,1025.0
2022-04-01,0,14356.0
2022-04-02,0,15260.0
2022-04-03,0,15485.0
2022-04-04,0,4933.0
2022-04-05,0,5528.0
2022-04-06,0,4433.0
2022-04-07,0,2877.0
2022-04-08,0,3385.0
2022-04-09,0,3415.0
2022-04-10,0,5586.0
2022-04-11,0,2232.0
2022-04-12,0,4638.0
2022-04-13,0,5402.0
2022-04-14,0,6557.0
2022-04-15,0,6602.0
2022-04-16,1,11400.0
2022-04-17,1,2447.0
2022-04-18,1,1619.0
2022-04-19,1,5084.0
2022-04-20,1,6136.0
2022-04-21,0,2391.0
2022-04-22,0,9569.0
2022-04-23,0,15866.0
2022-04-24,0,6232.0
2022-04-25,0,5305.0
2022-04-26,0,2400.0
2022-04-27,0,4843.0
2022-04-28,0,2162.0
2022-04-29,0,4388.0
2022-04-30,0,2473.0
2022-05-01,0,4686.0
2022-05-02,0,1364.0
2022-05-03,0,7863.0
2022-05-04,0,8956.0
2022-05-05,0,9944.0
2022-05-06,0,8539.0
2022-05-07,0,851.0
2022-05-08,0,644.0
2022-05-09,0,3459.0
2022-05-10,0,5619.0
2022-05-11,0,5323.0
2022-05-12,0,4129.0
2022-05-13,0,9750.0
2022-05-14,0,15066.0
2022-05-15,0,74.0
2022-05-16,0,2866.0
2022-05-17,1,3934.0
2022-05-18,1,1404.0
2022-05-19,1,2382.0
2022-05-20,1,11056.0
2022-05-21,1,8783.0
2022-05-22,0,5741.0
2022-05-23,0,1757.0
2022-05-24,0,3705.0
2022-05-25,0,2775.0
2022-05-26,0,171.0
2022-05-27,0,8527.0
2022-05-28,0,6376.0
2022-05-29,0,3810.0
2022-05-30,0,2745.0
